label;HI1;HI3;HI5;HI7;HI9;HI11
Kipas;98.46;2.85;1.67;3.19;2.27;2.26
Kipas;98.75;6.5;1.33;3.66;2.22;0.82
Kipas;99.16;6.1;2.99;4.37;0.81;3.2
Kipas;99.2;4.85;3.84;3.14;1.83;1.92
Kipas;99.44;4.34;1.54;4.34;2.5;0.72
Kipas;99.84;4.76;1.72;1.19;0.79;0.45
Kipas;99.71;4.17;1.25;1.64;1.41;1.77
Kipas;99.77;4.13;2.1;2.83;0.41;1.52
Kipas;99.48;7.46;3.84;1.67;1.22;1.75
Kipas;99.52;5.75;0.98;1.32;1.39;2.4
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kipas;0;0;0;0;0;0
Kipas;99.49;6.75;3.28;4.46;2.51;1.35
Kipas;99.2;7.5;5.69;4.16;1.92;3.06
Kipas;99.59;6.16;3.77;2.1;3.27;1.3
Kipas;98.24;9.04;2.2;2.58;1.53;2.76
Kipas;98.65;10.49;4.27;4.45;1.42;1.75
Kipas;99.35;6.26;2.33;3.77;3.21;2.01
Kipas;99.21;7.01;4.1;2.55;2.54;2.15
Kipas;98.32;6.19;5.21;5.43;0.97;4.36
Kipas;99.47;7.08;5.49;3.61;1.18;2.01
Kipas;99.45;6.66;3.6;1.82;2.07;2.07
Kipas;98.09;8.18;3.63;3.29;2.32;5.41
Kipas;97.65;9.39;3.77;8.98;2.29;0.41
Kipas;97.3;6.44;6.36;7.95;7.4;4.65
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kipas;0;0;0;0;0;0
Kipas;97.81;8.95;7.48;3.58;4.95;4.44
Kipas;98.09;9.12;4.18;4.77;4.16;1.84
Kipas;98.97;9.37;4.72;2.96;4.42;2.63
Kipas;98.36;7.37;2.57;2.75;3.92;2.99
Kipas;98.46;4.84;2.57;4.03;2.26;1.01
Kipas;99.15;8.05;5.4;2.57;1.41;1.22
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kipas;0;0;0;0;0;0
Kipas;99.4;6.71;3.41;2.64;2.14;1.1
Kipas;97.56;5.84;0.94;7.28;0.94;2.35
Kipas;99.17;8.08;4.66;3.01;3.65;1.67
Kipas;98.94;7.14;2.37;6.09;3.21;1.99
Kipas;94.34;19.21;15.23;10.3;4.34;6.69
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kipas;0;0;0;0;0;0
Kipas;99.44;6.45;3.06;3.35;3.47;2.19
Kipas;98.31;10.7;5.08;3.94;2.65;0.86
Kipas;99.43;7.75;3.16;2.57;3.12;1.26
Kipas;99.2;7.58;6.41;3.56;2.46;1.37
Kipas;98.34;9.18;3.1;3.04;1.5;0.35
Kipas;99.45;6.81;4.8;3.31;2.79;2.02
Kipas;0;0;0;0;0;0
Kipas;0;0;0;0;0;0
Kipas;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Pemanas Air;0;0;0;0;0;0
Pemanas Air;99.89;3.94;1.32;1.27;1.4;0.76
Pemanas Air;99.89;3.77;1.28;1.36;1.25;0.72
Pemanas Air;99.88;3.67;1.24;1.53;1.24;0.75
Pemanas Air;99.89;3.93;1.41;1.11;1.21;0.75
Pemanas Air;99.86;4.3;1.72;0.95;1.38;1.03
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Pemanas Air;99.89;4.04;1.27;1.17;1.1;0.64
Pemanas Air;99.89;4.02;1.39;1.1;1.26;0.71
Pemanas Air;99.9;3.58;1.31;1.34;1.35;0.75
Pemanas Air;99.89;4.12;1.33;1.12;1.13;0.6
Pemanas Air;99.89;3.97;1.42;1.16;1.2;0.65
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Pemanas Air;0;0;0;0;0;0.85
Pemanas Air;99.89;4.02;1.26;1.04;1.14;0.47
Pemanas Air;99.89;4.04;1.38;1.24;1.21;0.45
Pemanas Air;53.71;7.95;8.23;16.06;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Pemanas Air;0;0;0;0;0;0
Pemanas Air;99.88;4.06;1.55;1.19;1.21;0.63
Pemanas Air;99.89;3.98;1.27;1.4;1.24;0.57
Pemanas Air;99.9;3.82;1.27;1.19;1.32;0.73
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Pemanas Air;0;0;0;0;0;0
Pemanas Air;99.88;3.86;1.36;1.1;1.35;0.58
Pemanas Air;99.88;4.25;1.43;1.2;1.18;0.6
Pemanas Air;99.89;4.14;1.28;1.06;1.25;0.63
Pemanas Air;99.89;3.99;1.43;0.99;1.2;0.83
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Blender;99.34;10.09;2.67;2.65;0.77;1.01
Blender;99.46;9.51;2.79;2.59;1.14;0
Blender;99.18;9.95;4.53;3.89;0.9;1.7
Blender;99.39;9.72;2.71;2.43;0.96;1.52
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Blender;99.4;8.9;3.1;2.09;0.95;1.29
Blender;99.46;8.48;3.09;2.41;0.69;1.81
Blender;99.32;8.15;4.18;2.46;1.65;1.58
Blender;99.43;9.07;1.82;1.74;0.32;1.15
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Blender;0;0;0;0;0;0
Blender;99.54;8.87;2.63;1.81;0.56;1.14
Blender;99.55;7.92;2.21;2.07;0.6;1.04
Blender;99.55;8.5;2.13;2.19;1.4;1
